Using report1.sqlite for SQL queries.
Running [/nfs/c3po/software/spack/opt/spack/linux-ubuntu20.04-x86_64/gcc-9.3.0/cuda-11.6.0-bs5m5wvrn6c236edh2l3yr6bajgkhz72/nsight-systems-2021.5.2/target-linux-x64/reports/nvtxsum.py report1.sqlite]... 

 Time (%)  Total Time (ns)  Instances    Avg (ns)      Med (ns)     Min (ns)    Max (ns)   StdDev (ns)   Style                                         Range                                       
      0.1         45761749          1    45761749.0    45761749.0    45761749    45761749          0.0  PushPop  TSL:XlaPassPipeline:#name=layout normalization,module=jit_wrapper,program_id=42#  
      0.1         44632441          1    44632441.0    44632441.0    44632441    44632441          0.0  PushPop  TSL:XlaPassPipeline:#name=layout normalization,module=jit_wrapper,program_id=14#  
      0.1         43908019         29     1514069.6      516308.0      509264    15078444    3062296.0  PushPop  TSL:XlaPass:#name=cse,module=jit_wrapper,program_id=42#                           
      0.1         43343214         29     1494593.6      486912.0      479097    15618426    3142491.0  PushPop  TSL:XlaPass:#name=cse,module=jit_wrapper,program_id=14#                           
      0.1         33591130          1    33591130.0    33591130.0    33591130    33591130          0.0  PushPop  TSL:XlaPassPipeline:#name=conv_canonicalization,module=jit_wrapper,program_id=42# 
      0.1         33321039          1    33321039.0    33321039.0    33321039    33321039          0.0  PushPop  TSL:XlaPassPipeline:#name=conv_canonicalization,module=jit_wrapper,program_id=14# 
      0.1         32209243          3    10736414.3    10605386.0    10493224    11110633     328899.4  PushPop  TSL:XlaOptimizeLlvmIr:#module=jit__normal#                                        
      0.1         28029081         32      875908.8      292493.5      235035    17092807    2962989.6  PushPop  TSL:XlaPass:#name=dce,module=jit_wrapper,program_id=14#                           
      0.1         27909703         32      872178.2      312637.0      245244    16364799    2830964.3  PushPop  TSL:XlaPass:#name=dce,module=jit_wrapper,program_id=42#                           
      0.1         27522140          3     9174046.7     7814703.0     7349944    12357493    2766721.6  PushPop  TSL:XlaCreateGpuExecutable:#module=jit__normal#                                   
      0.0         22253427          1    22253427.0    22253427.0    22253427    22253427          0.0  PushPop  TSL:XlaPass:#name=dynamic_padder,module=jit_wrapper,program_id=14#                
      0.0         22100176          1    22100176.0    22100176.0    22100176    22100176          0.0  PushPop  TSL:XlaPass:#name=dynamic_padder,module=jit_wrapper,program_id=42#                
      0.0         21774981          1    21774981.0    21774981.0    21774981    21774981          0.0  PushPop  TSL:XlaPassPipeline:#name=remat-pipeline,module=jit_wrapper,program_id=42#        
      0.0         21724706          1    21724706.0    21724706.0    21724706    21724706          0.0  PushPop  TSL:XlaPassPipeline:#name=remat-pipeline,module=jit_wrapper,program_id=14#        
      0.0         20987070          1    20987070.0    20987070.0    20987070    20987070          0.0  PushPop  TSL:XlaPass:#name=cudnn-fused-convolution-rewriter,module=jit_wrapper,program_id=…
      0.0         20883794          1    20883794.0    20883794.0    20883794    20883794          0.0  PushPop  TSL:XlaPass:#name=cudnn-fused-convolution-rewriter,module=jit_wrapper,program_id=…
      0.0         20352488          1    20352488.0    20352488.0    20352488    20352488          0.0  PushPop  TSL:XlaPass:#name=rematerialization,module=jit_wrapper,program_id=42#             
      0.0         20332090          1    20332090.0    20332090.0    20332090    20332090          0.0  PushPop  TSL:XlaPass:#name=rematerialization,module=jit_wrapper,program_id=14#             
      0.0         20206060          3     6735353.3     6788070.0     6614772     6803218     104700.8  PushPop  TSL:XlaEmitGpuAsm:#module=jit__normal#                                            
      0.0         19497800          1    19497800.0    19497800.0    19497800    19497800          0.0  PushPop  TSL:XlaPass:#name=host-offloader,module=jit_wrapper,program_id=42#                
      0.0         18735377          1    18735377.0    18735377.0    18735377    18735377          0.0  PushPop  TSL:XlaPass:#name=host-offloader,module=jit_wrapper,program_id=14#                
      0.0         17639664         26      678448.6      545738.0      524142     1690130     286002.5  PushPop  TSL:XlaPass:#name=reshape-mover,module=jit_wrapper,program_id=42#                 
      0.0         17088160         26      657236.9      529186.5      514775     1634454     275565.6  PushPop  TSL:XlaPass:#name=reshape-mover,module=jit_wrapper,program_id=14#                 
      0.0         16243371         27      601606.3      427499.0      271815     3960597     691098.8  PushPop  TSL:XlaPass:#name=constant_folding,module=jit_wrapper,program_id=42#              
      0.0         16050901         27      594477.8      407130.0      261465     4212063     743418.3  PushPop  TSL:XlaPass:#name=constant_folding,module=jit_wrapper,program_id=14#              
      0.0         13240265          2     6620132.5     6620132.5     6332708     6907557     406479.6  PushPop  TSL:XlaPass:#name=float_normalization,module=jit_wrapper,program_id=42#           
      0.0         13231357          2     6615678.5     6615678.5     6329131     6902226     405239.4  PushPop  TSL:XlaPassPipeline:#name=float_normalization,module=jit_wrapper,program_id=42#   
      0.0         13081293          2     6540646.5     6540646.5     6205838     6875455     473490.7  PushPop  TSL:XlaPass:#name=float_normalization,module=jit_wrapper,program_id=14#           
      0.0         13071234          2     6535617.0     6535617.0     6202622     6868612     470926.0  PushPop  TSL:XlaPassPipeline:#name=float_normalization,module=jit_wrapper,program_id=14#   
      0.0         12109492         26      465749.7      436966.5      413834     1048765     120633.7  PushPop  TSL:XlaPass:#name=transpose-folding,module=jit_wrapper,program_id=42#             
      0.0         11648832         26      448032.0      422013.5      403113      986928     111589.0  PushPop  TSL:XlaPass:#name=transpose-folding,module=jit_wrapper,program_id=14#             
      0.0         11559575         26      444599.0      165097.5      155876     7390060    1416685.7  PushPop  TSL:XlaPass:#name=dot_decomposer,module=jit_wrapper,program_id=42#                
      0.0         11392958          2     5696479.0     5696479.0     5399261     5993697     420329.7  PushPop  TSL:XlaPass:#name=sanitize-constant-names,module=jit_wrapper,program_id=14#       
      0.0         11357811          2     5678905.5     5678905.5     5478421     5879390     283527.9  PushPop  TSL:XlaPass:#name=sanitize-constant-names,module=jit_wrapper,program_id=42#       
      0.0         11239394         26      432284.4      156847.0      149683     7270182    1394739.0  PushPop  TSL:XlaPass:#name=dot_decomposer,module=jit_wrapper,program_id=14#                
      0.0         11099051          1    11099051.0    11099051.0    11099051    11099051          0.0  PushPop  TSL:XlaPass:#name=simplification-2,module=jit_wrapper,program_id=42#              
      0.0         10850420          1    10850420.0    10850420.0    10850420    10850420          0.0  PushPop  TSL:XlaPass:#name=simplification-2,module=jit_wrapper,program_id=14#              
      0.0         10502855         27      388994.6      355503.0      350744      625314      78955.9  PushPop  TSL:XlaPass:#name=zero_sized_hlo_elimination,module=jit_wrapper,program_id=42#    
      0.0         10325767         25      413030.7      393044.0      391140      708070      62795.7  PushPop  TSL:XlaPass:#name=scatter-slice-simplifier,module=jit_wrapper,program_id=42#      
      0.0          9993008          1     9993008.0     9993008.0     9993008     9993008          0.0  PushPop  TSL:XlaOptimizeLlvmIr:#module=jit_tree_bias_correction#                           
      0.0          9990995         25      399639.8      380781.0      377184      695767      62810.8  PushPop  TSL:XlaPass:#name=scatter-slice-simplifier,module=jit_wrapper,program_id=14#      
      0.0          9925125         27      367597.2      339573.0      332800      588434      71047.4  PushPop  TSL:XlaPass:#name=zero_sized_hlo_elimination,module=jit_wrapper,program_id=14#    
      0.0          9636192          1     9636192.0     9636192.0     9636192     9636192          0.0  PushPop  TSL:XlaPassPipeline:#name=optimization,module=jit__normal,program_id=4#           
